                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.79516,                0.51335,                 1.0171,                 0.9752,                0.88747,                0.92116,                 0.7606,                0.77925,                0.51485,                 1.0716,              0.0074854,              0.0074854,              0.0074854
                    130,                0.78122,                0.51939,                 1.0121,                0.96144,                0.88367,                0.92281,                0.75591,                0.78358,                0.50969,                 1.0746,              0.0074656,              0.0074656,              0.0074656
                    131,                0.80381,                0.51639,                 1.0152,                0.95351,                0.89527,                0.91772,                0.75171,                0.81861,                0.56782,                   1.09,              0.0074458,              0.0074458,              0.0074458
                    132,                 0.7746,                0.51176,                 0.9984,                 0.9683,                0.91392,                0.92359,                0.75401,                0.78511,                0.49231,                 1.0743,               0.007426,               0.007426,               0.007426
                    133,                0.77342,                0.50116,                0.99188,                0.95551,                0.91136,                0.92826,                0.76169,                0.79277,                0.51527,                 1.0766,              0.0074062,              0.0074062,              0.0074062
                    134,                0.78043,                0.50802,                 1.0099,                0.93726,                0.91004,                0.92415,                0.75923,                0.80018,                0.53831,                 1.0759,              0.0073864,              0.0073864,              0.0073864
                    135,                0.76905,                0.49422,                0.99999,                0.96598,                0.90001,                0.92114,                0.76253,                0.79773,                0.51367,                 1.0691,              0.0073666,              0.0073666,              0.0073666
                    136,                0.77482,                0.50135,                0.99919,                0.95686,                0.90352,                 0.9304,                0.75053,                0.81753,                0.51596,                 1.0893,              0.0073468,              0.0073468,              0.0073468
                    137,                0.77848,                0.51001,                 1.0071,                0.95619,                0.90378,                0.92355,                0.75445,                0.81049,                0.50136,                 1.0976,               0.007327,               0.007327,               0.007327
                    138,                0.77693,                0.51908,                0.99778,                0.96759,                0.90378,                0.93376,                0.75877,                0.80443,                0.48086,                 1.0754,              0.0073072,              0.0073072,              0.0073072
                    139,                0.78064,                0.50764,                 1.0056,                0.96041,                 0.8962,                0.92125,                0.75287,                0.80179,                0.54724,                 1.0717,              0.0072874,              0.0072874,              0.0072874
                    140,                0.76213,                0.50162,                0.99767,                0.95943,                0.90104,                0.92786,                0.75903,                0.82137,                0.52002,                 1.0904,              0.0072676,              0.0072676,              0.0072676
                    141,                0.76815,                0.48804,                 1.0027,                0.96263,                0.90697,                0.92817,                0.75836,                0.81286,                0.51615,                 1.0868,              0.0072478,              0.0072478,              0.0072478
                    142,                0.77874,                0.50827,                 1.0063,                0.96009,                0.88863,                0.92665,                0.75773,                0.80288,                0.50453,                 1.0947,               0.007228,               0.007228,               0.007228
                    143,                0.77439,                 0.5246,                 1.0135,                0.97252,                0.88739,                0.92994,                0.75886,                0.82432,                0.53292,                 1.0971,              0.0072082,              0.0072082,              0.0072082
                    144,                0.75968,                 0.4912,                 1.0036,                0.97292,                0.88863,                0.92578,                0.75771,                 0.8031,                0.51069,                 1.0959,              0.0071884,              0.0071884,              0.0071884
                    145,                0.75734,                0.50109,                0.98945,                0.96695,                0.89738,                0.92477,                0.76425,                0.80015,                0.53528,                 1.1005,              0.0071686,              0.0071686,              0.0071686
                    146,                0.75493,                 0.4724,                0.99293,                0.97315,                0.90483,                0.92738,                0.75745,                 0.8286,                0.53561,                 1.1093,              0.0071488,              0.0071488,              0.0071488
                    147,                0.76784,                0.50326,                 1.0069,                0.97692,                0.90261,                0.92576,                0.75007,                0.81838,                0.52372,                 1.1083,               0.007129,               0.007129,               0.007129
                    148,                0.77037,                0.50235,                 1.0096,                0.96887,                0.89959,                0.92591,                0.76158,                0.78557,                0.51869,                 1.0924,              0.0071092,              0.0071092,              0.0071092
                    149,                 0.7809,                0.50305,                  1.006,                0.97486,                0.89932,                0.92907,                0.76086,                0.81356,                0.51738,                  1.081,              0.0070894,              0.0070894,              0.0070894
                    150,                0.75579,                0.48733,                0.97994,                0.96009,                 0.8962,                0.92043,                0.74769,                0.81787,                0.52968,                 1.0715,              0.0070696,              0.0070696,              0.0070696
                    151,                0.76843,                0.49732,                0.99408,                0.97289,                0.88889,                0.92868,                0.76164,                0.79405,                0.50851,                 1.0839,              0.0070498,              0.0070498,              0.0070498
